AP2S1,NCBI:1175
AP3S1,NCBI:1176
CLC,NCBI:1178
CLCA1,NCBI:1179
CLCN1,NCBI:1180
CLCN2,NCBI:1181
CLCN3,NCBI:1182
CLCN4,NCBI:1183
CLCN5,NCBI:1184
CLCN6,NCBI:1185
CLCN7,NCBI:1186
CLCNKA,NCBI:1187
CLCNKB,NCBI:1188
CLU,NCBI:1191
CLIC1,NCBI:1192
CLIC2,NCBI:1193
CLK1,NCBI:1195
CLK2,NCBI:1196
CLK2P1,NCBI:1197
CLK3,NCBI:1198
TPP1,NCBI:1200
CLN3,NCBI:1201
CLN5,NCBI:1203
CLNS1AP1,NCBI:1204
CLNS1A,NCBI:1207
CLPS,NCBI:1208
CLPTM1,NCBI:1209
CLTA,NCBI:1211
CLTB,NCBI:1212
CLTC,NCBI:1213
CMA1,NCBI:1215
CMD1B,NCBI:1218
CCR1,NCBI:1230
CCR3,NCBI:1232
CCR4,NCBI:1233
CCR5,NCBI:1234
CCR6,NCBI:1235
CCR7,NCBI:1236
CCR8,NCBI:1237
ACKR2,NCBI:1238
CMKLR1,NCBI:1240
LTB4R,NCBI:1241
CMM,NCBI:1243
ABCC2,NCBI:1244
CMTX2,NCBI:1253
CMTX3,NCBI:1254
CNA1,NCBI:1255
CNC2,NCBI:1257
CNGB1,NCBI:1258
CNGA1,NCBI:1259
CNGA2,NCBI:1260
CNGA3,NCBI:1261
CNGA4,NCBI:1262
PLK3,NCBI:1263
CNN1,NCBI:1264
CNN2,NCBI:1265
CNN3,NCBI:1266
CNP,NCBI:1267
CNR1,NCBI:1268
CNR2,NCBI:1269
CNTF,NCBI:1270
CNTFR,NCBI:1271
CNTN1,NCBI:1272
COD2,NCBI:1275
COL1A1,NCBI:1277
COL1A2,NCBI:1278
COL1AR,NCBI:1279
COL2A1,NCBI:1280
COL3A1,NCBI:1281
COL4A1,NCBI:1282
CTD,NCBI:1283
COL4A2,NCBI:1284
COL4A3,NCBI:1285
COL4A4,NCBI:1286
COL4A5,NCBI:1287
COL4A6,NCBI:1288
COL5A1,NCBI:1289
COL5A2,NCBI:1290
COL6A1,NCBI:1291
COL6A2,NCBI:1292
COL6A3,NCBI:1293
COL7A1,NCBI:1294
COL8A1,NCBI:1295
COL8A2,NCBI:1296
COL9A1,NCBI:1297
COL9A2,NCBI:1298
COL9A3,NCBI:1299
COL10A1,NCBI:1300
COL11A1,NCBI:1301
COL11A2,NCBI:1302
COL12A1,NCBI:1303
COL13A1,NCBI:1305
COL15A1,NCBI:1306
COL16A1,NCBI:1307
COL17A1,NCBI:1308
COL19A1,NCBI:1310
COMP,NCBI:1311
COMT,NCBI:1312
